names,lower,est.,upper,PC,vars
Xs(Temp):fshapePC1Fx1,-0.11609874254549805,-0.01966373151209659,0.07677127952130487,shape-PC1,T
Xs(Temp):fshapePC2Fx1,-0.02651254684844554,0.05969657405331857,0.14590569495508268,shape-PC2,T
Xs(Temp):fshapePC3Fx1,-0.0036338636736030494,0.09167756543424188,0.1869889945420868,shape-PC3,T
Xs(ALK):fshapePC1Fx1,-0.06241780130250273,0.006974457588831426,0.07636671648016559,shape-PC1,Alk
Xs(ALK):fshapePC2Fx1,-0.19044390342840095,-0.12629420017617035,-0.06214449692393974,shape-PC2,Alk
Xs(ALK):fshapePC3Fx1,-0.07766821402255676,-0.008808031117044975,0.060052151788466804,shape-PC3,Alk
Xs(SIR):fshapePC1Fx1,-0.2665063317393853,-0.19719943262184814,-0.12789253350431096,shape-PC1,SIR
Xs(SIR):fshapePC2Fx1,0.07914131552035361,0.14433338267863616,0.2095254498369187,shape-PC2,SIR
Xs(SIR):fshapePC3Fx1,0.002439971006914815,0.07077043731846963,0.13910090363002445,shape-PC3,SIR
Xs(shell_length):fshapePC1Fx1,0.2626774724098659,0.31694089063441444,0.371204308858963,shape-PC1,SH
Xs(shell_length):fshapePC2Fx1,0.023059449475046,0.07570838503187653,0.12835732058870708,shape-PC2,SH
Xs(shell_length):fshapePC3Fx1,0.12434928529268255,0.16150814248595813,0.1986669996792337,shape-PC3,SH
